city,title,price,location,area,building_area,bedrooms,bathrooms,garage
surabaya,Bukit Palma Blok C.sudah Galvalum Jual Cepat,Rp 799 Juta,"Citraland, Surabaya",: 84 m²,: 48 m²,2,1,1
surabaya,Rumah Di Dukuh Kupang Timur Lokasi Strategis Bangunan Bagus,"Rp 2,7 Miliar","Surabaya Kota, Surabaya",: 180 m²,: 225 m²,4,4,1
surabaya,Jual Rumah Citraland Bukitpalma Surabaya Barat,"Rp 1,02 Miliar","Surabaya Kota, Surabaya",: 72 m²,: 100 m²,3,2,1
surabaya,"Jual Rumah Hitung Tanah SHM 3 KT 3 KMRungkut, Surabaya","Rp 1,35 Miliar","Rungkut, Surabaya",: 200 m²,: 200 m²,3,3,1
surabaya,Rumah Baru 2 Lantai Subaya Timur Di Rungkut Shm,Rp 550 Juta,"Rungkut, Surabaya",: 50 m²,,,,
surabaya,Rumah Darmo Sentosa Raya Baru Renov Semi Furnish - TURUN HARGA,"Rp 3,3 MiliarRp 4MHEMAT 700 Jutaan","Wiyung, Surabaya",: 199 m²,: 210 m²,3,2,1
surabaya,Promo Rumah Murah Di Wonorejo Selatan Rungkut 3 Kamar Bagus,Rp 800 Juta,"Rungkut Industri, Surabaya",: 90 m²,: 60 m²,3,2,1
surabaya,Dijual Murah Via Lelang Rumah Dukuh Kupang Timur .cocok Buat Kos² An,"Rp 2,9 Miliar","Surabaya Kota, Surabaya",: 417 m²,: 417 m²,5,4,1
surabaya,Jual Rumah Araya 1 Main Road Limited Murah Nego Keras,"Rp 6,75 Miliar","Sukolilo, Surabaya",: 375 m²,: 500 m²,5,3,1
surabaya,Citraland Dekat Pasar,"Rp 2,1 Miliar","Surabaya Kota, Surabaya",: 131 m²,: 100 m²,3,2,1
surabaya,Rumah Baru Gress Full Furnish Terbaik Citraland Greenlake 4man,"Rp 4,4 Miliar","Wiyung, Surabaya",: 144 m²,: 163 m²,3,3,2
surabaya,Rumah Baru Minimalis Tropis Citraland Cluster Favorit 4 Kamar Hanya 4Man,"Rp 4,6 Miliar","Citraland, Surabaya",: 162 m²,: 255 m²,4,3,
surabaya,Rmh Pinggir Jln Raya Cocok Unt Usaha Manyar Kertoarjo Surabaya,Rp 14 MiliarRp 15MHEMAT 2 Miliaran,"Manyar, Surabaya",: 287 m²,: 200 m²,9,3,2
surabaya,"Murah, Rumah Siap Huni Di Manyar Tompotika, Dekat Raya Kertajaya","Rp 2,4 MiliarRp 2.6MHEMAT 250 Jutaan","Manyar, Surabaya",: 137 m²,: 150 m²,4,1,
surabaya,Di jual  Rumah 2 Lt Baru Renovasi Jl Dukuh Kupang Timur,"Rp 2,7 Miliar","Dukuh Kupang, Surabaya",: 180 m²,: 255 m²,3,4,2
surabaya,"Dijual Rumah Rungkut Mapan Siap Huni Dekat Masjid , Yakaya, Superindo Merr","Rp 1,2 Miliar","Rungkut, Surabaya",: 112 m²,: 200 m²,5,2,
surabaya,Dijual Rumah Siap Huni Murahhh di Purimas Dekat Merr,"Rp 1,15 Miliar","Rungkut, Surabaya",: 84 m²,: 69 m²,2,1,
surabaya,Rumah semifurnish siap huni dekat dengan akses tol,"Rp 3,3 MiliarRp 4MHEMAT 700 Jutaan","Dukuh Pakis, Surabaya",: 199 m²,: 210 m²,3,2,2
surabaya,RUMAH MINIMALIS DI SAN DIEGO PAKUWON CITY NEGO,"Rp 4,8 Miliar","Pakuwon City, Surabaya",: 200 m²,: 265 m²,5,4,
surabaya,Rumah MEWAH Mediterania Tropis Graha Famili Surabaya Barat,Rp 100 Miliar,"Graha, Surabaya",: 1470 m²,: 1000 m²,6,6,1
surabaya,"RUMAH DHARMAHUSADA INDAH BARAT SURABAYA G6508 ASSET MACET, CASH ONLY","Rp 7,1 Miliar","Dharma Husada, Surabaya",: 360 m²,: 700 m²,3,3,
surabaya,Rumah Siap Huni Grand Vivo Lempung Perdana Lontar Sambikerep,Rp 998 Juta,"Sambikerep, Surabaya",: 56 m²,: 80 m²,3,2,1
surabaya,Rumah Modern Pakuwon Indah Golf View Surabaya Barat,Rp 42 Miliar,"Pakuwon Indah, Surabaya",: 838 m²,: 1000 m²,4,5,2
surabaya,Rumah Mojokerto Subsidi Dekat Surabaya Akses Tol Terlaris Viral,Rp 166 Juta,"Surabaya Kota, Surabaya",: 66 m²,: 27 m²,2,1,1
surabaya,Rumah Di Citraland Utama Rumah Bagus Semi Furnished 10x20 Murah,Rp 4 Miliar,"Citraland, Surabaya",: 200 m²,: 350 m²,5,4,2
surabaya,"Rumah Royal Residence, Mewah, Siap Huni, Wiyung, Surabaya","Rp 8,5 Miliar","Wiyung, Surabaya",: 450 m²,: 450 m²,4,3,2
surabaya,Dijual Murah Rumah Siap Huni Medokan Ayu Utara Selangkah Ke Merr,Rp 450 Juta,"Rungkut, Surabaya",: 35 m²,: 35 m²,2,1,1
surabaya,"Rumah Modern, Murah, Perumahan Tengger - Manukan Surabaya Barat, Dekat Citraland",Rp 975 Juta,"Citraland, Surabaya",: 97 m²,: 97 m²,4,3,2
surabaya,Dijual Rumah Mewah Baru Gress Woodland Citraland,"Rp 5,8 Miliar","Citraland, Surabaya",: 210 m²,: 335 m²,4,4,1
surabaya,Dijual Rumah Medokan Ayu Area Rungkut Surabaya,"Rp 1,5 Miliar","Rungkut, Surabaya",: 112 m²,: 160 m²,2,1,2
surabaya,Dijual Cepat Rumah Murah Lokasi Pusat Kota Surabaya,Rp 850 Juta,"Surabaya Kota, Surabaya",: 67 m²,: 98 m²,3,2,1
surabaya,Dijual Cepat Rumah 2 Lantai Siap Huni di Gunung Anyar Surabaya,Rp 575 Juta,"Rungkut, Surabaya",: 40 m²,: 50 m²,2,2,1
surabaya,Dijual Rumah Siap Huni di Taman Puspa Raya Citraland Surabaya,"Rp 2,9 Miliar","Citraland, Surabaya",: 128 m²,: 200 m²,4,3,1
surabaya,Dijual Cepat Rumah di Jojoran dekat Kampus Unair,"Rp 2,6 Miliar","Surabaya Kota, Surabaya",: 81 m²,: 160 m²,2,2,1
surabaya,Rumah dekat UPN 2 Lantai SHM,Rp 750 Juta,"Rungkut, Surabaya",: 72 m²,: 45 m²,3,2,1
surabaya,Dijual Via Lelang Rumah Wisata Bukit Mas II Termurah,"Rp 3,7 Miliar","Wiyung, Surabaya",: 332 m²,: 423 m²,4,3,2
surabaya,Rumah Wisata Bukit Mas Siap Huni Padat Penduduk Row Jalan Lebar,Rp 3 Miliar,"Lidah Wetan, Surabaya",: 180 m²,: 275 m²,3,3,1
surabaya,Rumah Jl. Arjuna Harga Hitung Tanah Pusat Kota Row Jalan Besar,Rp 45 Miliar,"Sawahan, Surabaya",: 1630 m²,: 1000 m²,7,5,2
surabaya,Rumah Jl. Demak Selatan Kondisi Bagus! Cocok Buat Usaha Kost”an,"Rp 4,6 Miliar","Bubutan, Surabaya",: 300 m²,: 500 m²,8,5,1
surabaya,JUAL SIGNATURE HOME CITRALAND SURABAYA HIGH SPEC FINISHING,"Rp 12,9 Miliar","Citraland, Surabaya",: 391 m²,: 750 m²,7,8,2
surabaya,Rumah Gress Citraland.selangkah Gwalk.only 3man! Paling.murah,"Rp 3,95 Miliar","Citraland, Surabaya",: 150 m²,: 230 m²,4,3,
surabaya,Rumah.citraland.cluster Terdepan.favorit.paling.murah.di.kelasnya,"Rp 4,6 MiliarRp 5MHEMAT 391 Jutaan","Citraland, Surabaya",: 180 m²,: 250 m²,4,3,
surabaya,Rumah Citraland.utama.paling.worth It.only 2man.semi.furnish,"Rp 2,9 Miliar","Citraland, Surabaya",: 128 m²,: 180 m²,4,3,
surabaya,Rumah Termurah di Citraland Eastwood Adem Hadap Selatan Bangunan Terawat,"Rp 4,5 Miliar","Citraland, Surabaya",: 238 m²,: 350 m²,5,4,2
surabaya,Dijual Rumah Prambanan Residence Maharaja,"Rp 2,7 Miliar","Lakarsantri, Surabaya",: 162 m²,: 200 m²,5,2,
surabaya,Dijual Rumah Grand Pakuwon Canberra,"Rp 2,25 Miliar","Banyu Urip, Surabaya",: 90 m²,: 80 m²,4,2,
surabaya,Taman Puspa Raya Citraland Baru Renov Dkt Wiyung Pakuwon,"Rp 2,6 Miliar","Citraland, Surabaya",: 228 m²,: 130 m²,3,2,1
surabaya,Dijual Via Lelang Rumah Galaxy Bumi Permai Araya Surabaya,Rp 6 MiliarRp 6.9MHEMAT 880 Jutaan,"Surabaya Kota, Surabaya",: 375 m²,: 400 m²,4,3,2
surabaya,Dijual 3 Unit New Gress Minimalist Boulevard (jln Kembar),"Rp 2,6 Miliar","Semolowaru, Surabaya",: 91 m²,: 120 m²,4,3,1
surabaya,RUMAH PREMIUM MANYAR JAYA,Rp 7 Miliar,"Manyar, Surabaya",: 450 m²,: 700 m²,5,4,2
surabaya,"Rumah 2 Lantai Dekat Galaxy Mall Kampus Unair,its Sutorejo Sby","Rp 2,6 MiliarRp 2.8MHEMAT 250 Jutaan","Sutorejo, Surabaya",: 157 m²,: 258 m²,7,5,1
surabaya,Muraah Banget!! Terawat!! Segera Viewing!! Pakuwon Indah Surabaya,"Rp 5,25 Miliar","Pakuwon Indah, Surabaya",: 200 m²,: 270 m²,4,3,2
surabaya,Rumah Hitung Tanah Internasional Village Citraland Utama,"Rp 1,85 Miliar","Citraland, Surabaya",: 160 m²,: 102 m²,2,1,1
surabaya,"Palma Grandia, Citraland Utara, Sby, Dkt Superindo, Skolah Citra Berkat","Rp 1,6 Miliar","Citraland, Surabaya",: 136 m²,: 77 m²,4,3,2
surabaya,"Rumah Baru , Cantik& Siap Huni Di Jl. Modern Tengah Iii, Surabaya",Rp 875 Juta,"Rungkut, Surabaya",: 100 m²,: 70 m²,3,2,
surabaya,Dijual Rumah Taman Puspa Raya Citraland Utama Surabaya Barat,"Rp 3,35 MiliarRp 3.5MHEMAT 150 Jutaan","Citraland, Surabaya",: 144 m²,: 175 m²,4,4,2
surabaya,Rumah New Minimalis Di  Baruk Utara Hanya selangkah ke Raya MEER,"Rp 2,4 Miliar","Kedung Baruk, Surabaya",: 130 m²,: 160 m²,4,3,
