city,title,price,location,area,building_area,bedrooms,bathrooms,garage
gowa,"Rumah Nyaman Untuk Investasi, Modern Estate Hertasning Punya Solusi",Rp 958 Juta,"Somba Opu, Gowa",: 72 m²,: 60 m²,3,2,2
gowa,Rumah Lokasi Strategis 4 Menit ke Hertasning Makassar,Rp 390 Juta,"Somba Opu, Gowa",: 72 m²,: 54 m²,2,1,1
gowa,DIJUAL RUMAH DI JALAN MALINO COCOK BUAT INVESTASI,"Rp 2,08 Miliar","Pallangga, Gowa",: 2312 m²,: 119 m²,11,1,1
gowa,Rumah Full Furnished Dekat dari Kantor Bupati Gowa,Rp 600 Juta,"Somba Opu, Gowa",: 84 m²,: 84 m²,3,2,1
gowa,Dijual Cepat Rumah 3 Lantai Di Kompleks Pao Pao Depan Satu Sama Hertasning,Rp 750 Juta,"Tombolo Pao, Gowa",: 90 m²,: 80 m²,5,4,2
gowa,Rumah 2 Lantai Full Furnish & Ac Poros Hertasning. Cicilan 4 Jtan,Rp 644 Juta,"Somba Opu, Gowa",: 40 m²,: 40 m²,2,2,1
gowa,"Rumah Dp 2,5 Jt. Full Fasilitas Di Tengah Kota Gowa. Citra Garden",Rp 649 Juta,"Somba Opu, Gowa",: 72 m²,: 39 m²,2,1,1
gowa,Rumah Ciputra Grup Dp Mulai 5%. 3 Kamar Tidur. Ukuran 6x15.,Rp 799 Juta,"Somba Opu, Gowa",: 51 m²,: 90 m²,3,1,2
gowa,Rumah 2 Lantai Ciputra Grup Dp Mulai 5%. 4+1 Kamar. Ukuran 7x15.,"Rp 1,26 Miliar","Somba Opu, Gowa",: 105 m²,: 93 m²,4,3,2
gowa,Rumah Ciputra Grup Dp Mulai 5%. Tipe 39/72 Uk 6x12. Fasum Lengkap,Rp 649 Juta,"Somba Opu, Gowa",: 72 m²,: 39 m²,2,1,2
gowa,"Dijual cepat rumah 2lantai di Perumahan Andi Tonro Permai, Gowa Makassar (cc)",Rp 400 Juta,"Somba Opu, Gowa",: 84 m²,: 63 m²,3,2,
gowa,Rumah Citraland Celebes Makassar Fasilitas mantap,"Rp 3,5 Miliar","Somba Opu, Gowa",: 370 m²,: 245 m²,4,,
gowa,Rumah Siap Huni Di Samata Dekat Sekali Dari Uin Samata,Rp 380 Juta,"Bontomarannu, Gowa",: 84 m²,: 36 m²,2,1,1
gowa,"Rumah Cantik Lengkap Dapur, Pagar dan Kenopi",Rp 360 Juta,"Pallangga, Gowa",: 72 m²,: 40 m²,2,2,1
gowa,Rumah Siap Huni Dp 5 Juta Di Poros Pallangga Gowa,Rp 470 Juta,"Pallangga, Gowa",: 94 m²,: 45 m²,2,1,1
gowa,Dp Hanya 1 Juta Rumah Siap Huni Dekat Kantor Bupati Gowa,Rp 455 Juta,"Somba Opu, Gowa",: 72 m²,: 50 m²,2,1,1
gowa,Dijual Rumah Dp Hanya 5 Juta Dekat Ke Kampus Uin Samata,Rp 385 Juta,"Somba Opu, Gowa",: 72 m²,: 36 m²,2,1,
gowa,Rumah Gowa,Rp 490 Juta,"Somba Opu, Gowa",: 80 m²,: 80 m²,2,1,
